Title,Harga,Harga Asli,Diskon,Terjual,Rating,Lokasi
MR WHITE PUTTY DEMPUL GUNDAM MODEL KIT MG HG PG P118,Rp44.000,,,100+ terjual,5.0,Jakarta Utara
MR CLEAR COLOR GREEN GX104 CAT GUNDAM MODEL KIT MG HG PG,Rp45.000,,,3 terjual,5.0,Surabaya
MR FINISHING SURFACER 1500 BLACK CAT PRIMER GUNDAM MODEL KIT MG HG PG,Rp72.000,,,1rb+ terjual,5.0,Jakarta Utara
MR COLOR GX METAL GREEN 205 CAT GUNDAM AIRBRUSH MODEL KIT MG HG PG,Rp45.000,,,1 terjual,5.0,Surabaya
HG Aerial Gundam Part | Runner A | 01-29 | Witch From Mercury | Bandai,Rp11.969,,,50+ terjual,5.0,Depok
HG 1/144 Gundam The Origin RCX 76 02 Guncannon First Type - Bandai,Rp270.000,,,1 terjual,5.0,Makassar
BANDAI Plamo HG 1/144 Gundam L.O.Booster,Rp839.000,,,3 terjual,5.0,Jakarta Pusat
HG RX-105 Ξ Gundam / Xi Gundam - HGUC 1/144 BANDAI,Rp980.000,,,8 terjual,5.0,Jakarta Barat
BANDAI Gundam HG 1/144 Civilian Astray DSSD 0148833 60633,Rp225.000,,,9 terjual,5.0,Jakarta Utara
HG Rising Freedom Gundam Bandai Original,Rp420.000,,,22 terjual,4.8,Kab. Bantul
HG MIRASOUL FLIGHT UNIT GUNDAM AERIAL,Rp250.000,,,50+ terjual,5.0,Jakarta Barat
HG 1/144 HGUC AMS-123X-X Moon Gundam Neo Zeon Prototype Mobile Suit,Rp625.000,,,40+ terjual,5.0,Jakarta Barat
HG 1/144 Gundam HG Aerial - Bandai 063030,Rp549.000,,,100+ terjual,4.9,Kab. Bogor
HG Narrative Gundam C-Packs,Rp335.000,,,1 terjual,,Jakarta Barat
MR SURFACER 1200 GREY CAT PRIMER GUNDAM MODEL KIT MG HG PG,Rp55.000,,,500+ terjual,5.0,Jakarta Utara
MR COLOR YELLOW FLUORESCENT C172 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,1 terjual,5.0,Surabaya
KOMPRESOR COMPRESSOR AIRBRUSH SPARMAX ARISM MINI BLUE GUNDAM MG HG PG,Rp2.000.000,,,40+ terjual,4.9,Jakarta Utara
MR COLOR GX METAL PURPLE 206 CAT GUNDAM AIRBRUSH MODEL KIT MG HG PG,Rp45.000,,,1 terjual,,Surabaya
MR CEMENT SPB LEM GUNDAM MODEL KIT MG HG PG MC132,Rp55.000,Rp57.000,,100+ terjual,5.0,Jakarta Utara
hg 1/144 load astray double rebake gundam build divers re rise,Rp292.000,,,1 terjual,4.0,Medan
BANDAI 1/144 HG Susanowo GNX-Y901TW - 00 Gundam,Rp260.000,,,4 terjual,,Kab. Banyumas
Bandai HG 1/144 Jigen Build Knuckles (round) hand tangan hands gundam,Rp149.000,,,5 terjual,5.0,Bandung
HOBBY MIO SAW Stainless Steel- Gergaji Mini - Tools Gundam MG HG RG SD,Rp45.000,,,100+ terjual,5.0,Kab. Bandung
HG 1/144 KMK-B01 KAMIKI BURNING GUNDAM,Rp424.800,,,5 terjual,5.0,Denpasar
HG Gundam Aerial Permet Score Six Witch From Mercury P-BANDAI Limited,Rp649.000,,,2 terjual,5.0,Jakarta Barat
HG 1/144 Gundam Lfrith The Witch From Mercury Bandai,Rp398.000,,,90+ terjual,5.0,Jakarta Barat
HG Gundam F91 After Image Color Expo Limited,Rp545.000,,,1 terjual,5.0,Jakarta Selatan
HGBD HG GUNDAM AGEII MAGNUM,Rp220.000,,,7 terjual,5.0,Surabaya
HG GUNDAM 00 SKY MOEBIUS,Rp400.000,,,2 terjual,5.0,Surabaya
hg hgce freedom gundam vs force impulse metalic gloss limited set,Rp650.000,,,,,Bandar Lampung
HG 1/144 LM312V04 VICTORY GUNDAM BANDAI,Rp212.400,,,12 terjual,5.0,Denpasar
HG 1/144 Gundam Aerial,Rp320.000,,,4 terjual,5.0,Medan
HOBBY MIO ACTION FIGURE DISPLAY BASE BLACK - GUNDAM MG HG RG SD,Rp120.000,,,50+ terjual,5.0,Kab. Bandung
HGUC 1/144 HG Nu v Gundam RX-93 Bandai,Rp385.000,,,1 terjual,5.0,Jakarta Pusat
HG SERAVEE GUNDAM SCHEHERAZADE,Rp249.000,,,1 terjual,5.0,Kab. Bandung
1/144 HG Shenlong Gundam,Rp300.000,,,2 terjual,5.0,Kab. Gresik
HG 1/144 Flauros Gundam,Rp237.000,,,2 terjual,4.0,Jakarta Barat
Water Slide Decal Gundam The Witch From Mercury Aerial HG Arisu Decal,Rp48.000,,,100+ terjual,4.9,Arisu Online Shop
Water Slide Decal Gundam OO Raiser Seven Sword 00 Diver HG RG 1/144,Rp48.000,,,40+ terjual,5.0,Arisu Online Shop
Bandai HG IBO 1/144 MS Option set 6 seri Gundam barbatos lupus,Rp279.000,,,15 terjual,4.7,Bandung
HG 1/144 PFF-X7II/U7 URAVEN GUNDAM,Rp295.000,,,30+ terjual,5.0,Denpasar
HG 1/144 HGCE Aile Strike Gundam,Rp315.000,,,40+ terjual,4.9,Jakarta Barat
HG 1/144 HGCE ZGMF-X10A Freedom Gundam (Revive),Rp455.000,,,60+ terjual,4.9,Jakarta Barat
HG 1/144 Gundam Astray Red Frame Seed Bandai,Rp285.000,,,27 terjual,5.0,Jakarta Barat
HG 1/144 Gundam Exia. Original Bandai,Rp210.000,,,4 terjual,5.0,Jakarta Barat
BANDAI Plamo HG Gundam Perfect Strike Rouge,Rp419.000,,,3 terjual,,Jakarta Selatan
HG AGE G-EXES JACKEDGES GUNDAM,Rp235.000,,,1 terjual,5.0,Kab. Bandung
HG 1/144 HGBD:R Core Gundam Real Type Color Marsfour Unit Bandai,Rp298.000,,,27 terjual,4.9,Jakarta Barat
HGCE Rising Freedom Gundam / HG Rising Freedom Gundam,Rp435.000,,,15 terjual,5.0,Jakarta Barat
gundam bandai hg,Rp260.000,,,13 terjual,5.0,Jakarta Utara
HG 1/144 MS-14JG GELGOOG JAGER Bali Gundam Hobby Corner Bandai Ori,Rp247.800,,,2 terjual,5.0,Denpasar
HG 1/144 HGGBM Gundam 00 OO Diver Arc Build Metaverse Bandai Namco,Rp545.000,,,3 terjual,5.0,Jakarta Barat
HG 1/144 HGCE DESTINY GUNDAM ZGMF-X42S Seed BANDAI,Rp475.000,,,100+ terjual,4.9,Jakarta Barat
HG XM-XX Ghost Gundam ,Rp1.150.000,,,3 terjual,5.0,Jakarta Barat
MR COLOR LIGHT BLUE RLM76 C117 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,1 terjual,5.0,Surabaya
TAMIYA SURFACER PRIMER SPRAY CAT MODEL KIT GUNDAM HG MG TA87042,Rp140.000,,,23 terjual,5.0,Jakarta Utara
MR COLOR BLACK GREY RLM66 C116 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,1 terjual,5.0,Surabaya
MR MARK SOFTER LEM DECAL GUNDAM MODEL KIT MG HG PG,Rp40.000,Rp50.000,,750+ terjual,5.0,Jakarta Utara
MR COLOR THINNER 250 THINNER GUNDAM MODEL KIT MG HG PG T103,Rp108.000,,,8 terjual,5.0,Surabaya
